Voice Name (Persona),Category,Script Text,FILENAME,Stability,Similarity,Style
Morning Firecracker,PREVIEW AUDIO,"[playful] Wake up and smell the bingo, everybody![Short Pause] I'm Anna, and I'm going to bring that bright, sassy, and punchy energy to your game today![Short Pause] If you want a host who keeps the momentum flying and the crowd completely awake, you're looking right at her![Short Pause] I deliver my numbers rapid-fire with just enough attitude to keep things interesting![Short Pause] So grab your coffee and your daubers, because we're going live!",00__PREVIEW_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,HOST AUDIO,"[playful] Welcome everyone to a great night of Bingo, presented by AMI Entertainment![Short Pause] We're putting the music on hold and bringing you the classic game you know and love![Short Pause] If you need a bingo card, please signal your live host right now![Short Pause] And be sure to ask them what the winning pattern is for this round![Short Pause] Get those daubers ready, here we go!",00_HOST_1_START_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,HOST AUDIO,"[excited] We've called five numbers so far![Short Pause] We're just getting warmed up![Short Pause] There's still plenty of time to join in, so wave down your host for a card!",00_HOST_5_SONGS_IN_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,HOST AUDIO,[playful] That makes fifteen numbers down![Short Pause] The board is starting to fill up nicely![Short Pause] Keep those eyes peeled!,00_HOST_15_SONGS_IN_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,HOST AUDIO,[excited] Twenty-five numbers in the books![Short Pause] Check your boards closely![Short Pause] Someone out there has to be getting close to a win!,00_HOST_25_SONGS_IN_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,HOST AUDIO,[excited] Thirty-five numbers called![Short Pause] We're cruising right along![Short Pause] Who's waiting on just one more?!,00_HOST_35_SONGS_IN_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,HOST AUDIO,"[playful] Fifty-five numbers![Short Pause] The tension is rising in the room![Short Pause] Double check your markers, folks!",00_HOST_55_SONGS_IN_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,HOST AUDIO,"[warmly] Well, that's all seventy-five numbers![Short Pause] The hopper is officially empty![Short Pause] Thank you for playing this round with us, powered by AMI Entertainment![Short Pause] Stay tuned, to hear about any more upcomming games of AMI MUSIC BINGO!",00_HOST_75_SONGS_IN_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[shouting] Next number out of the hopper is… B1!,[Long Pause] ...Kelly's eye!,[Long Pause] B!...Zero One!,[Long Pause] [shouting] ...Final Call:... B1!!...",01_B-1_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[shouting] Next up is B2!!,[Long Pause] ...One little duck!,[Long Pause] B!...Zero Two!,[Long Pause] [shouting] ...Final Call:... B2!!...",01_B-2_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[shouting] Looking for B3!!...[Long Pause] Cup of tea!,[Long Pause] B!...Zero Three!,[Long Pause] [shouting] ...Final Call:... B3!!...",01_B-3_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] Here is B4!!...[Long Pause] Knock at the door!,[Long Pause] B!...Zero Four!,[Long Pause] [shouting] ...Final Call:... B4!!...",01_B-4_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] We have… B5!!,[Long Pause] B!...Zero Five!,[Long Pause] [shouting] ...Final Call:... B5!!...",01_B-5_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[shouting] Mark your boards for B6!!,[Long Pause] ...B!...Zero Six!,[Long Pause] [shouting] ...Final Call:... B6!!...",01_B-6_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] Moving along to B7!!,[Long Pause] ...Lucky number seven!,[Long Pause] B!...Zero Seven!,[Long Pause] [shouting] ...Final Call:... B7!!...",01_B-7_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[energetic] Here comes B8!!,[Long Pause] ...Garden gate!,[Long Pause] B!...Zero Eight!,[Long Pause] [shouting] ...Final Call:... B8!!...",01_B-8_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] We have B9!!,[Long Pause] B!...Zero Nine!,[Long Pause] [shouting] ...Final Call:... B9!!...",01_B-9_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] Next up is... B10!!,[Long Pause] ...Right on the money!,[Long Pause] B!...One Zero!,[Long Pause] [shouting] ...Final Call:... B10!!...",01_B-10_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[energetic] Looking for B11!!,[Long Pause] ...Legs eleven!,[Long Pause] B!...One One!,[Long Pause] [shouting] ...Final Call:... B11!!...",01_B-11_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[playful] Mark your cards for B12!!,[Long Pause] ...One dozen!,[Long Pause] B!...One Two!,[Long Pause] [shouting] ...Final Call:... B12!!...",01_B-12_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[shouting] Here is B13!!,[Long Pause] Unlucky for some!,[Long Pause] B!...One Three!,[Long Pause] [shouting] ...Final Call:... B13!!...",01_B-13_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[shouting] We have B14!!,[Long Pause] B!...One Four!,[Long Pause] [shouting] ...Final Call:... B14!!...",01_B-14_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[energetic] Last of the B's, it's B15!!,[Long Pause] B!...One Five!,[Long Pause] [shouting] ...Final Call:... B15!!...",01_B-15_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[playful] Moving into the column 2 with I16!!,[Long Pause] ...Sweet sixteen!,[Long Pause] EYE!,[Long Pause] One Six!,[Long Pause] [shouting] ...Final Call:... I16!!...",02_I-16_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[energetic] Here comes I17!!,[Long Pause] ...Dancing queen!,[Long Pause] EYE!,[Long Pause] One Seven!,[Long Pause] [shouting] ...Final Call:... I17!!...",02_I-17_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[energetic] Next up is I18!!,[Long Pause] ...EYE!,[Long Pause] One Eight!,[Long Pause] [shouting] ...Final Call:... I18!!...",02_I-18_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[energetic] Looking for I19!!,[Long Pause] ...EYE!,[Long Pause] One Nine!,[Long Pause] [shouting] ...Final Call:... I19!!...",02_I-19_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[shouting] We have I20!!,[Long Pause]... ""I""!,[Long Pause] Two Zero!,[Long Pause] [shouting] ...Final Call:... I20!!...",02_I-20_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[playful] Mark your boards for I21!!,[Long Pause] ...Key of the door!,[Long Pause] EYE!,[Long Pause] Two One!,[Long Pause] [shouting] ...Final Call:... I21!!...",02_I-21_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] Here is I22!!,[Long Pause] ...Two little ducks!!,[Long Pause] EYE!,[Long Pause] Two Two!,[Long Pause] [shouting] ...Final Call:... I22!!...",02_I-22_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] Next out is I23!!,[Long Pause] ...EYE!,[Long Pause] Two Three!,[Long Pause] [shouting] ...Final Call:... I23!!...",02_I-23_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] Looking for I24!!,[Long Pause] ...EYE!,[Long Pause] Two Four!,[Long Pause] [shouting] ...Final Call:... I24!!...",02_I-24_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[excited] We have I25!!,[Long Pause] ...EYE!,[Long Pause] Two Five!,[Long Pause] [shouting] ...Final Call:... I25!!...",02_I-25_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[playful] Mark your cards for I26!!,[Long Pause] ...EYE!,[Long Pause] Two Six!,[Long Pause] [shouting] ...Final Call:... I26!!...",02_I-26_MORNING_FIRECRACKER,0.8,0.8,0
Morning Firecracker,NUMBER CALL,"[energetic] Here comes I27!!,[Long Pause] ...EYE!,[Long Pause] Two Seven!,[Long Pause] [shouting] ...Final Call:... I27!!...",02_I-27_MORNING_FIRECRACKER,0.8,0.8,0
