Voice Name (Persona),Category,Script Text,FILENAME,Stability,Similarity,Style
Romeo,PREVIEW AUDIO,"[energetic] Good evening![Short Pause] Dim the lights and settle in![Short Pause] I'm Romeo![Short Pause] If you want a bingo experience with a touch of class and a little mystery, I'm your host![Short Pause] I keep things smooth, deliberate, and undeniably cool![Short Pause] Every number is a late-night secret, shared just with you![Short Pause] Let's make tonight unforgettable!",00__PREVIEW_ROMEO,0.8,0.8,0
Romeo,HOST AUDIO,"[playful] Welcome everyone to a great night of Bingo, presented by AMI Entertainment![Short Pause] We're putting the music on hold and bringing you the classic game you know and love![Short Pause] If you need a bingo card, please signal your live host right now![Short Pause] And be sure to ask them what the winning pattern is for this round![Short Pause] Get those daubers ready, here we go!",00_HOST_1_START_ROMEO,0.8,0.8,0
Romeo,HOST AUDIO,"[excited] We've called five numbers so far![Short Pause] We're just getting warmed up![Short Pause] There's still plenty of time to join in, so wave down your host for a card!",00_HOST_5_SONGS_IN_ROMEO,0.8,0.8,0
Romeo,HOST AUDIO,[playful] That makes fifteen numbers down![Short Pause] The board is starting to fill up nicely![Short Pause] Keep those eyes peeled!,00_HOST_15_SONGS_IN_ROMEO,0.8,0.8,0
Romeo,HOST AUDIO,[excited] Twenty-five numbers in the books![Short Pause] Check your boards closely![Short Pause] Someone out there has to be getting close to a win!,00_HOST_25_SONGS_IN_ROMEO,0.8,0.8,0
Romeo,HOST AUDIO,[excited] Thirty-five numbers called![Short Pause] We're cruising right along![Short Pause] Who's waiting on just one more?!,00_HOST_35_SONGS_IN_ROMEO,0.8,0.8,0
Romeo,HOST AUDIO,"[playful] Fifty-five numbers![Short Pause] The tension is rising in the room![Short Pause] Double check your markers, folks!",00_HOST_55_SONGS_IN_ROMEO,0.8,0.8,0
Romeo,HOST AUDIO,"[warmly] Well, that's all seventy-five numbers![Short Pause] The hopper is officially empty![Short Pause] Thank you for playing this round with us, powered by AMI Entertainment![Short Pause] Stay tuned, to hear about any more upcomming games of AMI MUSIC BINGO!",00_HOST_75_SONGS_IN_ROMEO,0.8,0.8,0
Romeo,NUMBER CALL,"[shouting] Next number out of the hopper is… B1!,[Long Pause] ...Kelly's eye!,[Long Pause] B!...Zero One!,[Long Pause] [shouting] ...Final Call:... B1!!...",01_B-1_ROMEO,0.8,0.8,0
Romeo,NUMBER CALL,"[shouting] Next up is B2!!,[Long Pause] ...One little duck!,[Long Pause] B!...Zero Two!,[Long Pause] [shouting] ...Final Call:... B2!!...",01_B-2_ROMEO,0.8,0.8,0
Romeo,NUMBER CALL,"[shouting] Looking for B3!!...[Long Pause] Cup of tea!,[Long Pause] B!...Zero Three!,[Long Pause] [shouting] ...Final Call:... B3!!...",01_B-3_ROMEO,0.8,0.8,0
Romeo,NUMBER CALL,"[excited] Here is B4!!...[Long Pause] Knock at the door!,[Long Pause] B!...Zero Four!,[Long Pause] [shouting] ...Final Call:... B4!!...",01_B-4_ROMEO,0.8,0.8,0
Romeo,NUMBER CALL,"[excited] We have… B5!!,[Long Pause] B!...Zero Five!,[Long Pause] [shouting] ...Final Call:... B5!!...",01_B-5_ROMEO,0.8,0.8,0
Romeo,NUMBER CALL,"[shouting] Mark your boards for B6!!,[Long Pause] ...B!...Zero Six!,[Long Pause] [shouting] ...Final Call:... B6!!...",01_B-6_ROMEO,0.8,0.8,0
Romeo,NUMBER CALL,"[excited] Moving along to B7!!,[Long Pause] ...Lucky number seven!,[Long Pause] B!...Zero Seven!,[Long Pause] [shouting] ...Final Call:... B7!!...",01_B-7_ROMEO,0.8,0.8,0
