Voice Name (Persona),Category,Script Text,FILENAME,Stability,Similarity,Style
Firecracker,HOST AUDIO,"<break time=""1.0s"" />Welcome everyone to a great night of Bingo, presented by AMI Entertainment!<break time=""0.5s"" /> We are putting the music on hold and bringing you the classic game you know and love!<break time=""0.5s"" /> If you need a bingo card, please signal your live host right now!<break time=""0.5s"" /> And be sure to ask them what the winning pattern is for this round!<break time=""0.5s"" /> Get those daubers ready, here we go!<break time=""5.0s"" />",00_HOST_1_START_FIRECRACKER,0.8,0.8,0
Firecracker,HOST AUDIO,"<break time=""1.0s"" />We have called five numbers so far!<break time=""0.5s"" /> We are just getting warmed up!<break time=""0.5s"" /> There is still plenty of time to join in, so wave down your host for a card!<break time=""5.0s"" />",00_HOST_5_SONGS_IN_FIRECRACKER,0.8,0.8,0
Firecracker,HOST AUDIO,"<break time=""1.0s"" />That makes fifteen numbers down!<break time=""0.5s"" /> The board is starting to fill up nicely!<break time=""0.5s"" /> Keep those eyes peeled!<break time=""5.0s"" />",00_HOST_15_SONGS_IN_FIRECRACKER,0.8,0.8,0
Firecracker,HOST AUDIO,"<break time=""1.0s"" />Twenty-five numbers in the books!<break time=""0.5s"" /> Check your boards closely!<break time=""0.5s"" /> Someone out there has to be getting close to a win!<break time=""5.0s"" />",00_HOST_25_SONGS_IN_FIRECRACKER,0.8,0.8,0
Firecracker,HOST AUDIO,"<break time=""1.0s"" />Thirty-five numbers called!<break time=""0.5s"" /> We are cruising right along!<break time=""0.5s"" /> Who is waiting on just one more?!<break time=""5.0s"" />",00_HOST_35_SONGS_IN_FIRECRACKER,0.8,0.8,0
Firecracker,HOST AUDIO,"<break time=""1.0s"" />Fifty-five numbers!<break time=""0.5s"" /> The tension is rising in the room!<break time=""0.5s"" /> Double check your markers, folks!<break time=""5.0s"" />",00_HOST_55_SONGS_IN_FIRECRACKER,0.8,0.8,0
Firecracker,HOST AUDIO,"<break time=""1.0s"" />Well, that is all seventy-five numbers!<break time=""0.5s"" /> The hopper is officially empty!<break time=""0.5s"" /> Thank you all for playing this round with us, powered by AMI Entertainment!<break time=""0.5s"" /> Stay tuned, to hear about any more upcomming games of AMI MUSIC BINGO!<break time=""5.0s"" />",00_HOST_75_SONGS_IN_FIRECRACKER,0.8,0.8,0
Firecracker,NUMBER CALL,"<break time=""1.0s"" />First number out of the hopper is B-1!<break time=""1.0s"" /> Kelly's eye!<break time=""0.5s"" /> B!<break time=""0.5s"" /> Zero One!<break time=""1.0s"" /> ...Final Call: B-1!!...<break time=""5.0s"" />",01_B-1_FIRECRACKER,0.8,0.8,0
Firecracker,NUMBER CALL,"<break time=""1.0s"" />Next up is B-2!<break time=""1.0s"" /> One little duck!<break time=""0.5s"" /> B!<break time=""0.5s"" /> Zero Two!<break time=""1.0s"" /> ...Final Call: B-2!!...<break time=""5.0s"" />",01_B-2_FIRECRACKER,0.8,0.8,0
Firecracker,NUMBER CALL,"<break time=""1.0s"" />Looking for B-3!<break time=""1.0s"" /> Cup of tea!<break time=""0.5s"" /> B!<break time=""0.5s"" /> Zero Three!<break time=""1.0s"" /> ...Final Call: B-3!!...<break time=""5.0s"" />",01_B-3_FIRECRACKER,0.8,0.8,0
Firecracker,NUMBER CALL,"<break time=""1.0s"" />Here is B-4!<break time=""1.0s"" /> Knock at the door!<break time=""0.5s"" /> B!<break time=""0.5s"" /> Zero Four!<break time=""1.0s"" /> ...Final Call: B-4!!...<break time=""5.0s"" />",01_B-4_FIRECRACKER,0.8,0.8,0
