Voice Name (Persona),Category,Script Text,FILENAME,Stability,Similarity,Style
Auntie Belle,Preview,"Well hey there, sugar! Come on in and pull up a chair![Short Pause] If you're lookin' for a bingo night that's as sweet as a slice of homemade pecan pie, you're right where you belong![pause] I'm Auntie Belle, and I'm here to sprinkle a little Southern hospitality all over your game tonight![Short Pause] We don't need to rush... I take my time callin' these numbers so everybody can enjoy the evening and mark their cards in peace![Short Pause] Let's play some good ol' fashioned bingo... nice and easy... the Southern way!""",00__PREVIEW_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,HOST AUDIO,"[excited] Well now, gather 'round![Short Pause]  It's about that time![Short Pause] ] We're switchin' gears in the next game from Music to a good ol' fashioned, standard game of Bingo... presented by AMI Entertainment![Short Pause]  Just you, me, and the numbers![Short Pause] If you ain't got a card yet, go ahead and wave down your host! [Short Pause]  And before we get to callin', make sure you ask 'em what the winning pattern is tonight! [Short Pause]  Alright... let's see who the lucky ones are!",00_HOST_1_START_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,HOST AUDIO,"[warmly] Five numbers down![pause] We're just gettin' the dust off the tires![pause] If you just walked in, it ain't too late![pause] Grab your host and get a card!",00_HOST_5_SONGS_IN_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,HOST AUDIO,[warmly] Fifteen numbers called![pause] Y'all are lookin' mighty focused out there![pause] Keep your eyes on the board!,00_HOST_15_SONGS_IN_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,HOST AUDIO,[warmly] Twenty-five numbers in the bucket![pause] Somebody out there's gotta be gettin' close![pause] Don't be shy when you hit it... let us hear ya!,00_HOST_25_SONGS_IN_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,HOST AUDIO,[chuckling] Thirty-five numbers in the books![pause] We're about halfway down the trail![pause] Anybody sweatin' yet?!,00_HOST_35_SONGS_IN_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,HOST AUDIO,"[playful] Fifty-five numbers![pause] The air is gettin' a little thin in here![pause] Double check those cards, folks!",00_HOST_55_SONGS_IN_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,HOST AUDIO,"[playful] Well, that's seventy-five numbers![pause] The bucket is empty![pause] If nobody hollered bingo, we might need to check your hearing![pause] Thanks for playin' with us tonight, and a big tip of the hat to AMI Entertainment![pause] Stick around, we'll have more fun comin' up!",00_HOST_75_SONGS_IN_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] First number out of the chute is B1!,[Long Pause] Number One under the B!,[Long Pause] [shouting] ...Final Call:... B1!!...",01_B-1_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Next up, we got B2!,[Long Pause] Sneakin' up on ya like a two-dollar pistol!,[Long Pause] B!...Zero Two!,[Long Pause] [shouting] ...Final Call:... B2!!...",01_B-2_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Alright, lookin' for B3!,[Long Pause] B!...number Three!,[Long Pause] [shouting] ...Final Call:... B3!!...",01_B-3_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Here comes B4!,[Long Pause] B!...Zero Four!,[Long Pause] [shouting] ...Final Call:... B4!!...",01_B-4_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Pullin' out B5!,[Long Pause] We're just gettin' the engine warmed up!,[Long Pause] B!...Zero Five!,[Long Pause] [shouting] ...Final Call:... B5!!...",01_B-5_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Mark your cards for B6!,[Long Pause] B!...Zero Six!,[Long Pause] [shouting] ...Final Call:... B6!!...",01_B-6_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Let's see here, it's B7!,[Long Pause] Lucky number seven under the B!,[Long Pause] [shouting] ...Final Call:... B7!!...",01_B-7_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Next one is B8!,[Long Pause] B!...Zero Eight!,[Long Pause] [shouting] ...Final Call:... B8!!...",01_B-8_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Checkin' the bucket for B9!,[Long Pause] B!...Zero Nine!,[Long Pause] [shouting] ...Final Call:... B9!!...",01_B-9_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] We got a B10!,[Long Pause] Right on the money!,[Long Pause] B!...One Zero!,[Long Pause] [shouting] ...Final Call:... B10!!...",01_B-10_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[warmly] Next up, B11!,[Long Pause] Two ones under the B!,[Long Pause] B!...One One!,[Long Pause] [shouting] ...Final Call:... B11!!...",01_B-11_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Alright, it's B12!,[Long Pause] B!...One Two!,[Long Pause] [shouting] ...Final Call:... B12!!...",01_B-12_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Pullin' B13!,[Long Pause] Unlucky for some, maybe lucky for you!,[Long Pause] B!...One Three!,[Long Pause] [shouting] ...Final Call:... B13!!...",01_B-13_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[warmly] Next out is B14!,[Long Pause] Sweeter than honey-butter on cornbread!,[Long Pause] B!...One Four!,[Long Pause] [shouting] ...Final Call:... B14!!...",01_B-14_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Last of the B's! It's B15!,[Long Pause] B!...One Five!,[Long Pause] [shouting] ...Final Call:... B15!!...",01_B-15_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[warmly] Movin' on to I16!,[Long Pause] EYE!,[Long Pause] One Six!,[Long Pause] [shouting] ...Final Call:... I16!!...",02_I-16_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Next up, I17!,[Long Pause] EYE!,[Long Pause] One Seven!,[Long Pause] [shouting] ...Final Call:... I17!!...",02_I-17_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Let's see here! Lookin' for I18!,[Long Pause] Old enough to know better!,[Long Pause] EYE!,[Long Pause] One Eight!,[Long Pause] [shouting] ...Final Call:... I18!!...",02_I-18_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[warmly] I'm holdin' an I19!,[Long Pause] EYE!,[Long Pause] One Nine!,[Long Pause] [shouting] ...Final Call:... I19!!...",02_I-19_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] We got an I20!,[Long Pause] EYE!,[Long Pause] Two Zero!,[Long Pause] [shouting] ...Final Call:... I20!!...",02_I-20_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Next is I21!,[Long Pause] Let's play some cards!,[Long Pause] EYE!,[Long Pause] Two One!,[Long Pause] [shouting] ...Final Call:... I21!!...",02_I-21_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Alright, pullin' an I22!,[Long Pause] Twin twos under the I!,[Long Pause] [shouting] ...Final Call:... I22!!...",02_I-22_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Here comes I23!,[Long Pause] EYE!,[Long Pause] Two Three!,[Long Pause] [shouting] ...Final Call:... I23!!...",02_I-23_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Lookin' for I24!,[Long Pause] EYE!,[Long Pause] Two Four!,[Long Pause] [shouting] ...Final Call:... I24!!...",02_I-24_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Next out is I25!,[Long Pause] Quarter of a century!,[Long Pause] EYE!,[Long Pause] Two Five!,[Long Pause] [shouting] ...Final Call:... I25!!...",02_I-25_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Mark down I26!,[Long Pause] EYE!,[Long Pause] Two Six!,[Long Pause] [shouting] ...Final Call:... I26!!...",02_I-26_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Check your boards for I27!,[Long Pause] EYE!,[Long Pause] Two Seven!,[Long Pause] [shouting] ...Final Call:... I27!!...",02_I-27_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] We got an I28!,[Long Pause] Lookin' good under the I!,[Long Pause] EYE!,[Long Pause] Two Eight!,[Long Pause] [shouting] ...Final Call:... I28!!...",02_I-28_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Alright, it's I29!,[Long Pause] EYE!,[Long Pause] Two Nine!,[Long Pause] [shouting] ...Final Call:... I29!!...",02_I-29_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] End of the I's, folks! It's I30!,[Long Pause] EYE!,[Long Pause] Three Zero!,[Long Pause] [shouting] ...Final Call:... I30!!...",02_I-30_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Check your boards for N31!,[Long Pause] N!...Three One!,[Long Pause] [shouting] ...Final Call:... N31!!...",03_N-31_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] Next out is N32!,[Long Pause] N!...Three Two!,[Long Pause] [shouting] ...Final Call:... N32!!...",03_N-32_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Here comes N33!,[Long Pause] All the threes under the N!,[Long Pause] N!...Three Three!,[Long Pause] [shouting] ...Final Call:... N33!!...",03_N-33_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[playful] We got an N34!,[Long Pause] N!...Three Four!,[Long Pause] [shouting] ...Final Call:... N34!!...",03_N-34_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[excited] Pullin' out N35!,[Long Pause] N!...Three Five!,[Long Pause] [shouting] ...Final Call:... N35!!...",03_N-35_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[warmly] Alright, it's N36!,[Long Pause] Three dozen exactly!,[Long Pause] N!...Three Six!,[Long Pause] [shouting] ...Final Call:... N36!!...",03_N-36_AUNTIE_BELLE,0.8,0.8,0
Auntie Belle,NUMBER CALL,"[shouting] Lookin' for N37!,[Long Pause] N!...Three Seven!,[Long Pause] [shouting] ...Final Call:... N37!!...",03_N-37_AUNTIE_BELLE,0.8,0.8,0
