Voice Name (Persona),Category,Script Text,FILENAME,Question Only,Answer Only,Stability,Similarity,Style
Uncle Bull Balladeer,HOST AUDIO,"Well now, gather 'round!<break time=""1.0s"" /> It's about that time!<break time=""1.0s"" /> We're switchin' gears for this next game to Country Hits Trivia Bingo, presented by AMI Entertainment!<break time=""1.0s"" /> Instead of regular numbers, I'm gonna be testin' your knowledge and callin' out trivia questions, and all the answers are mixed up right there on your cards!<break time=""1.0s"" /> Tonight is all about celebratin' the best of country music, but don't worry if you ain't a Nashville historian!<break time=""1.0s"" /> This is all about havin' fun, so everybody's got a shot!<break time=""1.0s"" /> I'll be callin' out each question three times, and give y'all plenty of time to figure it out and mark your squares!<break time=""1.0s"" /> And, tonight we're keepin' things casual, so if you're stumped, I'll even call out the answer before movin' onto the next question!<break time=""1.0s"" /> Don't be shy about askin' your friends and neighbors for help, we're all in this together!<break time=""1.0s"" /> If you ain't got a card yet, go ahead and wave down your host, and make sure you ask 'em what the winning pattern is tonight!<break time=""1.0s"" /> Alright, let's see who the lucky ones are, 'cause here we go!",00_HOST_1_START_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"Five questions down!  <break time=""1.0s"" /> We're just gettin' the dust off our boots!  <break time=""1.0s"" /> If you just walked in, grab a card from your host and jump right in!  <break time=""1.0s"" /> Ask your neighbors for the answers if you need to catch up! ",00_HOST_5_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"Alright that’s fifteen questions in the books!   <break time=""1.0s"" /> Y'all are lookin' mighty focused out there!   <break time=""1.0s"" /> Remember to lean on your tablemates if you get stuck on a tough one! ",00_HOST_15_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"That's twenty-five questions!   <break time=""1.0s"" /> Somebody out there's gotta be gettin' close to a bingo!   <break time=""1.0s"" /> Let us hear ya if you're one away!   <break time=""1.0s"" /> And keep askin' your neighbors for help! ",00_HOST_25_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"Look at that! We are at thirty-five questions!   <break time=""1.0s"" /> We are halfway down the trail!   <break time=""1.0s"" /> Check your boards and make sure you ain't missed any of those answers! ",00_HOST_35_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"We're almost there! Fifty-five questions!  <break time=""1.0s"" /> The tension is gettin' high in here!  <break time=""1.0s"" /> Keep those eyes on the board and holler if you need help from your neighbors! ",00_HOST_55_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"Well, that's all seventy-five questions!  <break time=""1.0s"" /> The hopper is completely empty!  <break time=""1.0s"" /> Thanks for playin' Country Hits Trivia Bingo with us tonight, powered by AMI Entertainment!  <break time=""1.0s"" /> Stick around, we'll have more fun comin' up real soon! ",00_HOST_75_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What famous Memphis mansion did Elvis Presley call home?!<break time=""2.0s"" /> Second time around, we're lookin' for what was the name of Elvis's house?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> What famous Memphis mansion did Elvis Presley call home?!<break time=""2.0s"" /> You should be lookin' for Graceland!  <break time=""1.0s"" /> That's Graceland!<break time=""1.0s"" /> He bought the massive estate back in 1957 when he was just twenty-two years old! ",Graceland_UNCLE_BULL,What famous Memphis mansion did Elvis Presley call home?,Graceland,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Pay attention to this next one!  <break time=""1.0s"" /> What city is famously known around the world as Music City?!<break time=""2.0s"" /> For the second time, what city is called Music City?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What city is famously known around the world as Music City?!<break time=""2.0s"" /> The answer we're lookin' for is Nashville!  <break time=""1.0s"" /> That's Nashville!<break time=""1.0s"" /> It has been the ultimate home of country music for over a century! ",Nashville_UNCLE_BULL,What city is famously known around the world as Music City?,Nashville,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What historic venue is known as the Mother Church of Country Music?!<break time=""2.0s"" /> Check your cards, we need to know what venue is the Mother Church?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> What historic venue is known as the Mother Church of Country Music?!<break time=""2.0s"" /> The right answer is Ryman Auditorium!  <break time=""1.0s"" /> That's Ryman Auditorium!<break time=""1.0s"" /> It was the original home of the Grand Ole Opry for over thirty years! ",Ryman_Auditorium_UNCLE_BULL,What historic venue is known as the Mother Church of Country Music?,Ryman Auditorium,0.8,0.8,0
